occupation_code	occupation_text	display_level	selectable	sort_sequence
514191	Heat treating equipment setters, operators, and tenders, metal and plastic	3	T	891
514192	Layout workers, metal and plastic	3	T	892
514193	Plating machine setters, operators, and tenders, metal and plastic	3	T	893
514194	Tool grinders, filers, and sharpeners	3	T	894
514199	Metal workers and plastic workers, all other	3	T	895
515111	Prepress technicians and workers	3	T	897
515112	Printing press operators	3	T	898
515113	Print binding and finishing workers	3	T	899
516011	Laundry and dry-cleaning workers	3	T	901
516021	Pressers, textile, garment, and related materials	3	T	902
516031	Sewing machine operators	3	T	903
516051	Sewers, hand	3	T	908
516052	Tailors, dressmakers, and custom sewers	3	T	909
516061	Textile bleaching and dyeing machine operators and tenders	3	T	911
516062	Textile cutting machine setters, operators, and tenders	3	T	912
516063	Textile knitting and weaving machine setters, operators, and tenders	3	T	913
516064	Textile winding, twisting, and drawing out machine setters, operators, and tenders	3	T	914
516091	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers	3	T	916
516092	Fabric and apparel patternmakers	3	T	917
516093	Upholsterers	3	T	918
516099	Textile, apparel, and furnishings workers, all other	3	T	919
517011	Cabinetmakers and bench carpenters	3	T	921
517021	Furniture finishers	3	T	922
517041	Sawing machine setters, operators, and tenders, wood	3	T	927
517042	Woodworking machine setters, operators, and tenders, except sawing	3	T	928
517099	Woodworkers, all other	3	T	929
518011	Nuclear power reactor operators	3	T	932
518012	Power distributors and dispatchers	3	T	933
518013	Power plant operators	3	T	934
518021	Stationary engineers and boiler operators	3	T	935
518031	Water and wastewater treatment plant and system operators	3	T	936
518091	Chemical plant and system operators	3	T	938
518092	Gas plant operators	3	T	939
518093	Petroleum pump system operators, refinery operators, and gaugers	3	T	940
518099	Plant and system operators, all other	3	T	941
519011	Chemical equipment operators and tenders	3	T	944
519012	Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders	3	T	945
519021	Crushing, grinding, and polishing machine setters, operators, and tenders	3	T	947
519022	Grinding and polishing workers, hand	3	T	948
519023	Mixing and blending machine setters, operators, and tenders	3	T	949
519031	Cutters and trimmers, hand	3	T	951
519032	Cutting and slicing machine setters, operators, and tenders	3	T	952
519041	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	3	T	953
519051	Furnace, kiln, oven, drier, and kettle operators and tenders	3	T	954
